subject	model_label	fit_response	smoothed	spherical_noise	separate_sigmas	n	fisher_information	condition
2	15	False	True	True	True	40.0	0.071289845	wide
2	18	False	True	True	False	10.0	0.3975278	narrow
2	18	False	True	True	False	11.0	0.14163043	narrow
2	18	False	True	True	False	12.0	0.10213259	narrow
2	18	False	True	True	False	13.0	0.09596276	narrow
2	18	False	True	True	False	14.0	0.044988	narrow
2	18	False	True	True	False	15.0	0.05589572	narrow
2	18	False	True	True	False	16.0	0.080912225	narrow
2	18	False	True	True	False	17.0	0.10474201	narrow
2	18	False	True	True	False	18.0	0.12455866	narrow
2	18	False	True	True	False	19.0	0.1398298	narrow
2	18	False	True	True	False	20.0	0.15104151	narrow
2	18	False	True	True	False	21.0	0.15925834	narrow
2	18	False	True	True	False	22.0	0.16581857	narrow
2	18	False	True	True	False	23.0	0.17205572	narrow
2	18	False	True	True	False	24.0	0.17901483	narrow
2	18	False	True	True	False	25.0	0.18719143	narrow
2	18	False	True	True	False	10.0	0.4225382	wide
2	18	False	True	True	False	11.0	0.3255122	wide
2	18	False	True	True	False	12.0	0.19739212	wide
2	18	False	True	True	False	13.0	0.08117667	wide
2	18	False	True	True	False	14.0	0.09412704	wide
2	18	False	True	True	False	15.0	0.06617405	wide
2	18	False	True	True	False	16.0	0.030065859	wide
2	18	False	True	True	False	17.0	0.02057102	wide
2	18	False	True	True	False	18.0	0.023503855	wide
2	18	False	True	True	False	19.0	0.029697949	wide
2	18	False	True	True	False	20.0	0.036539815	wide
2	18	False	True	True	False	21.0	0.043113545	wide
2	18	False	True	True	False	22.0	0.048973933	wide
2	18	False	True	True	False	23.0	0.053910747	wide
2	18	False	True	True	False	24.0	0.05785777	wide
2	18	False	True	True	False	25.0	0.060836248	wide
2	18	False	True	True	False	26.0	0.062917836	wide
2	18	False	True	True	False	27.0	0.064200796	wide
2	18	False	True	True	False	28.0	0.06479473	wide
2	18	False	True	True	False	29.0	0.064811714	wide
2	18	False	True	True	False	30.0	0.06436136	wide
2	18	False	True	True	False	31.0	0.063547805	wide
2	18	False	True	True	False	32.0	0.062468845	wide
2	18	False	True	True	False	33.0	0.06121523	wide
2	18	False	True	True	False	34.0	0.059870455	wide
2	18	False	True	True	False	35.0	0.058510356	wide
2	18	False	True	True	False	36.0	0.05720218	wide
2	18	False	True	True	False	37.0	0.05600372	wide
2	18	False	True	True	False	38.0	0.054961774	wide
2	18	False	True	True	False	39.0	0.054110806	wide
2	18	False	True	True	False	40.0	0.053471595	wide
2	18	False	True	True	True	10.0	0.34647247	narrow
2	18	False	True	True	True	11.0	0.12336648	narrow
2	18	False	True	True	True	12.0	0.08781232	narrow
2	18	False	True	True	True	13.0	0.0820864	narrow
2	18	False	True	True	True	14.0	0.0386708	narrow
2	18	False	True	True	True	15.0	0.04858915	narrow
2	18	False	True	True	True	16.0	0.07069934	narrow
2	18	False	True	True	True	17.0	0.09177712	narrow
2	18	False	True	True	True	18.0	0.1093422	narrow
2	18	False	True	True	True	19.0	0.12292074	narrow
2	18	False	True	True	True	20.0	0.13293847	narrow
2	18	False	True	True	True	21.0	0.14033379	narrow
2	18	False	True	True	True	22.0	0.14628802	narrow
2	18	False	True	True	True	23.0	0.15197805	narrow
2	18	False	True	True	True	24.0	0.15832384	narrow
2	18	False	True	True	True	25.0	0.16575664	narrow
2	18	False	True	True	True	10.0	0.37197888	wide
2	18	False	True	True	True	11.0	0.28477624	wide
2	18	False	True	True	True	12.0	0.17242128	wide
2	18	False	True	True	True	13.0	0.071279965	wide
2	18	False	True	True	True	14.0	0.08146324	wide
2	18	False	True	True	True	15.0	0.057053532	wide
2	18	False	True	True	True	16.0	0.025943203	wide
2	18	False	True	True	True	17.0	0.017806794	wide
2	18	False	True	True	True	18.0	0.020419424	wide
2	18	False	True	True	True	19.0	0.025880082	wide
2	18	False	True	True	True	20.0	0.03191782	wide
2	18	False	True	True	True	21.0	0.03772743	wide
2	18	False	True	True	True	22.0	0.042914867	wide
2	18	False	True	True	True	23.0	0.04729286	wide
2	18	False	True	True	True	24.0	0.050801206	wide
2	18	False	True	True	True	25.0	0.05345712	wide
2	18	False	True	True	True	26.0	0.05532258	wide
2	18	False	True	True	True	27.0	0.056483395	wide
2	18	False	True	True	True	28.0	0.05703565	wide
2	18	False	True	True	True	29.0	0.057077926	wide
2	18	False	True	True	True	30.0	0.056706794	wide
2	18	False	True	True	True	31.0	0.056014165	wide
2	18	False	True	True	True	32.0	0.055086493	wide
2	18	False	True	True	True	33.0	0.054004088	wide
2	18	False	True	True	True	34.0	0.052840907	wide
2	18	False	True	True	True	35.0	0.051664103	wide
2	18	False	True	True	True	36.0	0.050533306	wide
2	18	False	True	True	True	37.0	0.049499705	wide
2	18	False	True	True	True	38.0	0.04860473	wide
2	18	False	True	True	True	39.0	0.0478788	wide
2	18	False	True	True	True	40.0	0.047340285	wide
2	18	False	True	True	True	10.0	0.47033176	narrow
2	18	False	True	True	True	11.0	0.16844487	narrow
2	18	False	True	True	True	12.0	0.12329057	narrow
2	18	False	True	True	True	13.0	0.11629317	narrow
2	18	False	True	True	True	14.0	0.054459233	narrow
2	18	False	True	True	True	15.0	0.066564776	narrow
2	18	False	True	True	True	16.0	0.09550522	narrow
2	18	False	True	True	True	17.0	0.1230675	narrow
2	18	False	True	True	True	18.0	0.14593367	narrow
2	18	False	True	True	True	19.0	0.16348334	narrow
2	18	False	True	True	True	20.0	0.17628008	narrow
2	18	False	True	True	True	21.0	0.18555671	narrow
2	18	False	True	True	True	22.0	0.19286202	narrow
2	18	False	True	True	True	23.0	0.19974017	narrow
2	18	False	True	True	True	24.0	0.20740582	narrow
2	18	False	True	True	True	25.0	0.21644458	narrow
2	18	False	True	True	True	10.0	0.49380147	wide
2	18	False	True	True	True	11.0	0.3832912	wide
2	18	False	True	True	True	12.0	0.2330713	wide
2	18	False	True	True	True	13.0	0.09560814	wide
2	18	False	True	True	True	14.0	0.112387374	wide
2	18	False	True	True	True	15.0	0.079367094	wide
2	18	False	True	True	True	16.0	0.03614796	wide
2	18	False	True	True	True	17.0	0.024675878	wide
2	18	False	True	True	True	18.0	0.02800405	wide
